phase,id,case,arm,cohort,collaborationPolicy,collaborationVersion,workspaceMode,status,workerCount,peakActiveWorkers,naturalCompletedWorkers,cancelledWorkers,failedWorkers,timedOutWorkers,topologySatisfied,runtimeConfigurationSatisfied,comparisonProtocolSatisfied,workerThinkingLevels,hostDurationMs,investigationDurationMs,evaluationDurationMs,tokens,inputTokens,outputTokens,cacheReadTokens,cacheWriteTokens,estimatedCostUSD,rootOnlyTokens,rootOnlyEstimatedCostUSD,workerTokens,rootToolCalls,rootCodingToolCalls,rootGameToolCalls,rootCollaborationToolCalls,workerToolCalls,workerCodingToolCalls,workerGameToolCalls,workerCollaborationToolCalls,workspaceLockWaitMs,rootWorkspaceLockWaitMs,workerWorkspaceLockWaitMs,maximumWorkspaceLockWaitMs,rootModelRequests,workerModelRequests,rootModelRequestDurationSumMs,workerModelRequestDurationSumMs,performanceTelemetryComplete,rootFirstEditAt,rootFinalValidationAt,rootLastSuccessfulGameLaunchAt,rootFinalResponseAt,usageReconciled,usageOwnershipReconciled,multiSummaryMatches,usageIncomplete,allUsageEntriesPriced,actualBilledCost,acceptance,acceptanceRepeatedConsistently,patchVerified,patchSha256,sourceCheckoutUnchanged,rootGameLaunches,rootSuccessfulGameLaunches,rootFailedGameLaunches,rootUnknownGameLaunches,finalValidationLaunchAfterLastObservedEdit,rootPatchApplyCalls,providerRetries,toolResultErrors,sharedToolCalls,collaborationMessages,collaborationMessagesConsumed,collaborationDeliveryErrors,rootTail,failure,initialWorkerTurnCommonOverlapMs
development-v1,gn1-single,gn1,single,development,adaptive,,single,completed,0,0,0,0,0,0,True,True,True,[],157168,152468,29390,481245,54579,5802,420864,0,0.026295479999999996,481245,0.026295479999999996,0,48,23,25,0,0,0,0,0,0,0,0,0,21,0,139664.022581,0,True,2026-09-13T13:11:04.215Z,2026-09-13T13:11:10.368Z,2026-09-13T13:11:10.368Z,2026-09-13T13:11:56.617Z,True,True,,False,True,,passed,True,True,81f3453f808b7623989e8a8f28e788e0bca3383861a37d0a4659d7d574b57120,True,2,2,0,0,True,0,0,0,,,,,"{""firstStoppingResponseAt"": ""2026-09-13T13:11:56.617Z"", ""laterAssistantResponses"": 0, ""laterDurationMs"": 0, ""laterEstimatedCostUSD"": 0}",,0
development-v1,gn1-multi,gn1,multi,development,adaptive,2,shared,completed,1,1,1,0,0,0,True,True,True,"[""max""]",268429,264320,29582,1424788,132924,14936,1276928,0,0.07004656000000001,992152,0.04358280000000001,432636,80,37,42,1,39,18,19,2,50.466587000046275,1.8134650000502006,48.653121999996074,48.09067099999811,36,28,244639.2166529999,137699.29415899998,True,2026-09-13T13:11:30.982Z,2026-09-13T13:13:07.614Z,2026-09-13T13:13:07.614Z,2026-09-13T13:13:48.517Z,True,True,True,False,True,,passed,True,True,317e1edea6a11f6dafc28b2e843734d5ec1bcce94ea8132851e7c143c5caa990,True,3,3,0,0,True,0,0,1,112,4,4,0,"{""firstStoppingResponseAt"": ""2026-09-13T13:13:48.517Z"", ""laterAssistantResponses"": 0, ""laterDurationMs"": 0, ""laterEstimatedCostUSD"": 0}",,145086
development-v1,city-single,city,single,development,adaptive,,single,completed,0,0,0,0,0,0,True,True,True,[],293032,285197,23007,1183398,83944,10430,1089024,0,0.05108528,1183398,0.05108528,0,49,29,20,0,0,0,0,0,0,0,0,0,33,0,259589.5056369999,0,True,2026-09-13T13:10:57.786Z,2026-09-13T13:13:22.438Z,2026-09-13T13:13:22.438Z,2026-09-13T13:14:12.379Z,True,True,,False,True,,passed,True,True,0b88fa1da5077d463eab5051cce8ea4fb06d693d83af65b78a97367ac42c9464,True,5,4,1,0,True,0,0,0,,,,,"{""firstStoppingResponseAt"": ""2026-09-13T13:14:12.379Z"", ""laterAssistantResponses"": 0, ""laterDurationMs"": 0, ""laterEstimatedCostUSD"": 0}",,0
development-v1,city-multi,city,multi,development,adaptive,2,shared,completed,1,1,0,1,0,0,True,True,True,"[""max""]",223388,215478,22748,1149510,150398,9928,989184,0,0.061776880000000006,822499,0.03911288,327011,43,29,11,3,33,24,5,4,56.07064099999843,38.20014100000117,17.870499999997264,37.25624700000117,32,19,182808.13859800002,89145.88431800001,True,2026-09-13T13:11:05.216Z,2026-09-13T13:11:11.394Z,2026-09-13T13:11:11.394Z,2026-09-13T13:13:02.681Z,True,True,True,True,True,,passed,True,True,32607e10885fc318425a21d07b8d43974d2e7b787c1b838504b2bf6411ce9c23,True,2,2,0,0,True,0,0,6,66,5,4,0,"{""firstStoppingResponseAt"": ""2026-09-13T13:13:02.681Z"", ""laterAssistantResponses"": 0, ""laterDurationMs"": 0, ""laterEstimatedCostUSD"": 0}",,202362
development-v2,gn1-single,gn1,single,development-optimized,adaptive,,single,completed,0,0,0,0,0,0,True,True,True,[],181210,177074,29470,561411,67143,6844,487424,0,0.03138988,561411,0.03138988,0,53,27,26,0,0,0,0,0,0,0,0,0,23,0,166421.81319900003,0,True,2026-09-13T13:23:05.875Z,2026-09-13T13:23:08.295Z,2026-09-13T13:23:08.295Z,2026-09-13T13:24:13.751Z,True,True,,False,True,,passed,True,True,81f3453f808b7623989e8a8f28e788e0bca3383861a37d0a4659d7d574b57120,True,2,2,0,0,True,0,0,0,,,,,"{""firstStoppingResponseAt"": ""2026-09-13T13:24:13.751Z"", ""laterAssistantResponses"": 0, ""laterDurationMs"": 0, ""laterEstimatedCostUSD"": 0}",,0
development-v2,gn1-multi,gn1,multi,development-optimized,adaptive,2,shared,completed,1,1,1,0,0,0,True,True,True,"[""max""]",179780,175564,29604,598041,111923,9446,476672,0,0.04325324,286564,0.021828839999999995,311477,43,24,12,7,34,16,16,2,58.12331000001359,39.84263300003295,18.280676999980642,38.90998899999977,26,18,120505.67308000007,137180.98034399998,True,2026-09-13T13:23:04.582Z,2026-09-13T13:23:10.307Z,2026-09-13T13:23:10.307Z,2026-09-13T13:24:12.278Z,True,True,True,False,True,,passed,True,True,81f3453f808b7623989e8a8f28e788e0bca3383861a37d0a4659d7d574b57120,True,2,2,0,0,True,0,0,0,65,4,4,0,"{""firstStoppingResponseAt"": ""2026-09-13T13:24:12.278Z"", ""laterAssistantResponses"": 0, ""laterDurationMs"": 0, ""laterEstimatedCostUSD"": 0}",,144068
development-v2,city-single,city,single,development-optimized,adaptive,,single,completed,0,0,0,0,0,0,True,True,True,[],164025,156110,22459,443568,56749,5891,380928,0,0.02603756,443568,0.02603756,0,44,34,10,0,0,0,0,0,0,0,0,0,27,0,142150.91775700002,0,True,2026-09-13T13:22:05.000Z,,2026-09-13T13:21:39.183Z,2026-09-13T13:23:55.771Z,True,True,,False,True,,passed,True,True,32607e10885fc318425a21d07b8d43974d2e7b787c1b838504b2bf6411ce9c23,True,5,1,4,0,False,0,0,6,,,,,"{""firstStoppingResponseAt"": ""2026-09-13T13:23:55.771Z"", ""laterAssistantResponses"": 0, ""laterDurationMs"": 0, ""laterEstimatedCostUSD"": 0}",,0
development-v2,city-multi,city,multi,development-optimized,adaptive,2,shared,completed,0,0,0,0,0,0,True,True,True,[],137634,129596,22336,280681,51251,4662,224768,0,0.020339960000000004,280681,0.020339960000000004,0,28,23,5,0,0,0,0,0,1.0210540000152832,1.0210540000152832,0,0.13180500000089523,21,0,121201.91659600001,0,True,2026-09-13T13:22:04.909Z,2026-09-13T13:22:25.087Z,2026-09-13T13:22:25.087Z,2026-09-13T13:23:29.269Z,True,True,True,False,True,,passed,True,True,32607e10885fc318425a21d07b8d43974d2e7b787c1b838504b2bf6411ce9c23,True,1,1,0,0,True,0,0,0,27,0,0,0,"{""firstStoppingResponseAt"": ""2026-09-13T13:23:29.269Z"", ""laterAssistantResponses"": 0, ""laterDurationMs"": 0, ""laterEstimatedCostUSD"": 0}",,0
holdout,mob-single,mob,single,holdout,adaptive,,single,completed,0,0,0,0,0,0,True,True,True,[],117073,113693,19138,293682,41848,4026,247808,0,0.01815696,293682,0.01815696,0,30,17,13,0,0,0,0,0,0,0,0,0,16,0,103975.940511,0,True,2026-09-13T13:43:47.227Z,2026-09-13T13:43:54.998Z,2026-09-13T13:43:54.998Z,2026-09-13T13:44:43.907Z,True,True,,False,True,,passed,True,True,ef227866c26b30e8baf46dd38a9363a0b9f4aabe7a1323941ee70d75cf66d177,True,2,2,0,0,True,0,0,0,,,,,"{""firstStoppingResponseAt"": ""2026-09-13T13:44:43.907Z"", ""laterAssistantResponses"": 0, ""laterDurationMs"": 0, ""laterEstimatedCostUSD"": 0}",,0
holdout,mob-multi,mob,multi,holdout,adaptive,2,shared,completed,1,1,0,1,0,0,True,True,True,"[""max""]",198460,195077,19130,1151815,159109,12226,980480,0,0.06610260000000001,598913,0.035374840000000005,552902,44,25,13,6,45,31,11,3,122.72773000003508,39.28673500003424,83.44099500000084,42.46311499999865,26,27,162422.81703999997,155716.18260300005,True,2026-09-13T13:44:56.844Z,2026-09-13T13:45:10.632Z,2026-09-13T13:45:10.632Z,2026-09-13T13:46:05.275Z,True,True,True,True,True,,passed,True,True,ef227866c26b30e8baf46dd38a9363a0b9f4aabe7a1323941ee70d75cf66d177,True,2,2,0,0,True,0,0,6,77,4,4,0,"{""firstStoppingResponseAt"": ""2026-09-13T13:46:05.275Z"", ""laterAssistantResponses"": 0, ""laterDurationMs"": 0, ""laterEstimatedCostUSD"": 0}",,166345
